Number:0, mass:1, radius:0.01
time,x,y,z,x_,y_,z_
12.3, 0.246157, 0.891491, 0.916035, 1978.72, -1916.7, -4176.54
12.4, 0.42452, 0.965016, 0.0725633, 25627.5, -12085.9, -29475.2
12.5, 0.47218, 0.715673, 0.386079, 25627.5, -12085.9, -29475.3
12.6, 0.525168, 0.484782, 0.707542, 25627.6, -12085.5, -29475.1
12.7, 0.63685, 0.408535, 0.0523314, 25629.5, -12080.5, -29475.2
12.8, 0.121827, 0.47258, 0.95228, 26037.3, -12200.2, -29636.8
12.9, 0.842998, 0.23902, 0.83752, 26034.8, -12191.4, -29646.6
13, 0.268814, 0.172081, 0.813961, 25795.5, -12196.2, -29631.4
13.1, 0.467419, 0.611175, 0.211424, 25795.8, -12197.1, -29631.4
13.2, 0.660461, 0.989097, 0.587683, 25791.8, -12202.6, -29630.8
13.3, 0.378854, 0.669654, 0.983315, 25604.2, -12323.6, -29462.6
13.4, 0.129415, 0.282267, 0.635806, 25609.7, -12315, -29461.2
13.5, 0.360204, 0.636946, 0.39649, 25609.7, -12315.1, -29461.2
13.6, 0.585179, 0.0161339, 0.123723, 25609.6, -12314.9, -29461.9
13.7, 0.568379, 0.512842, 0.53482, 25605.9, -12312.9, -29466
13.8, 0.414474, 0.106714, 0.792263, 25605.9, -12312.9, -29466
13.9, 0.371763, 0.740924, 0.139719, 25571.4, -12314.7, -29463.8
14, 0.807946, 0.096351, 0.498324, 25609.6, -12331.1, -29506.4
14.1, 0.105554, 0.488389, 0.332322, 25632.9, -12094.4, -29605.5
14.2, 0.0432275, 0.154761, 0.660021, 301768, -561357, -244726
14.3, 0.896069, 0.423966, 0.959775, 301683, -561491, -244776
14.4, 0.113625, 0.230522, 0.970205, 301690, -561497, -244770
14.5, 0.784939, 0.623599, 0.40707, 301690, -561497, -244770
14.6, 0.343653, 0.652606, 0.584044, 301689, -561502, -244773
14.7, 0.902948, 0.580998, 0.756769, 301689, -561501, -244773
14.8, 0.693386, 0.353889, 0.330501, 301671, -561493, -244769
14.9, 0.890016, 0.56959, 0.367619, 301861, -561650, -244951
15, 0.262137, 0.388734, 0.586248, 305313, -564382, -251031
15.1, 0.630227, 0.366962, 0.0995948, 305311, -564382, -251036
15.2, 0.0431765, 0.585638, 0.108447, 305588, -564480, -251051
15.3, 0.72699, 0.166372, 0.917711, 304831, -564795, -251306
15.4, 0.714664, 0.594998, 0.661226, 309186, -565503, -252603
15.5, 0.290196, 0.976007, 0.29596, 309172, -565492, -252624
15.6, 0.612456, 0.277335, 0.799991, 311777, -564825, -253809
15.7, 0.160666, 0.0189672, 0.508353, 314167, -563205, -274153
15.8, 0.0691314, 0.119077, 0.728267, 314167, -563205, -274153
15.9, 0.124381, 0.894176, 0.356149, 314173, -563146, -274104
16, 0.337652, 0.787527, 0.781687, 314155, -563121, -274108
16.1, 0.354965, 0.884499, 0.19065, 314160, -563154, -274117
16.2, 0.628237, 0.437113, 0.757316, 312944, -559581, -271098
16.3, 0.165154, 0.979037, 0.785813, 480934, -370810, -174976
16.4, 0.119286, 0.677672, 0.727134, 4.03366e+07, 1.62926e+07, 8.6145e+06
16.5, 0.629975, 0.815889, 0.547107, 3.66358e+07, 1.78969e+07, 7.06419e+06
16.6, 0.435123, 0.185188, 0.838405, 3.66358e+07, 1.7897e+07, 7.06416e+06
16.7, 0.136775, 0.550066, 0.850533, 3.66358e+07, 1.7897e+07, 7.06416e+06
16.8, 0.58638, 0.461873, 0.73247, 3.66358e+07, 1.7897e+07, 7.06416e+06
16.9, 0.348952, 0.814567, 0.61268, 3.66358e+07, 1.7897e+07, 7.06416e+06
17, 0.349526, 0.71555, 0.267654, 3.66358e+07, 1.7897e+07, 7.06416e+06
17.1, 0.818906, 0.336312, 0.807098, 3.66358e+07, 1.78969e+07, 7.06416e+06
17.2, 0.646599, 0.624499, 0.569564, 3.6629e+07, 1.80009e+07, 7.04967e+06
17.3, 0.41994, 0.682788, 0.253847, 3.6631e+07, 1.80006e+07, 7.04704e+06
17.4, 0.451578, 0.272305, 0.353883, 3.6631e+07, 1.80006e+07, 7.04704e+06
17.5, 0.208035, 0.519099, 0.18934, 3.6631e+07, 1.80006e+07, 7.04704e+06
17.6, 0.856731, 0.766561, 0.969964, 3.6631e+07, 1.80006e+07, 7.04704e+06
17.7, 0.402222, 0.066713, 0.805731, 3.6631e+07, 1.80006e+07, 7.04704e+06
17.8, 0.883264, 0.20772, 0.964352, 3.6631e+07, 1.80006e+07, 7.04705e+06
17.9, 0.259627, 0.939369, 0.717742, 3.66314e+07, 1.8e+07, 7.04677e+06
18, 0.206173, 0.586534, 0.381323, 3.66314e+07, 1.8e+07, 7.04676e+06
18.1, 0.183527, 0.275294, 0.103907, 3.66314e+07, 1.8e+07, 7.04677e+06
18.2, 0.172204, 0.530156, 0.271777, 3.66314e+07, 1.8e+07, 7.04673e+06
18.3, 0.383852, 0.836134, 0.273884, 3.66314e+07, 1.8e+07, 7.04673e+06
18.4, 0.435316, 0.311286, 0.30086, 3.66314e+07, 1.8e+07, 7.04675e+06
18.5, 0.252895, 0.299807, 0.0860624, 3.6635e+07, 1.80035e+07, 7.04801e+06
18.6, 0.70253, 0.774088, 0.542186, 3.66351e+07, 1.80034e+07, 7.0479e+06
18.7, 0.651489, 0.610656, 0.632384, 3.66351e+07, 1.80034e+07, 7.04789e+06
18.8, 0.0428852, 0.346623, 0.0704784, 3.66347e+07, 1.80035e+07, 7.04807e+06
18.9, 0.948549, 0.609108, 0.0139201, 3.66347e+07, 1.80035e+07, 7.04807e+06
19, 0.894965, 0.924866, 0.890631, 3.66333e+07, 1.80001e+07, 7.04348e+06
19.1, 0.295184, 0.331135, 0.374906, 3.66335e+07, 1.79997e+07, 7.0439e+06
19.2, 0.13407, 0.81305, 0.687737, 3.66335e+07, 1.79997e+07, 7.0439e+06
19.3, 0.839206, 0.204658, 0.213704, 3.66335e+07, 1.79997e+07, 7.0439e+06
19.4, 0.52591, 0.483096, 0.936135, 3.66335e+07, 1.79997e+07, 7.0439e+06
19.5, 0.643765, 0.496512, 0.427163, 3.66331e+07, 1.80002e+07, 7.04435e+06
19.6, 0.42357, 0.829469, 0.987226, 3.66159e+07, 1.80315e+07, 7.02349e+06
19.7, 0.176063, 0.550465, 0.655621, 3.66159e+07, 1.80315e+07, 7.02349e+06
19.8, 0.894416, 0.242696, 0.296266, 3.66159e+07, 1.80315e+07, 7.02349e+06
19.9, 0.609382, 0.360438, 0.330615, 3.66159e+07, 1.80313e+07, 7.02353e+06
20, 0.336019, 0.562814, 0.561716, 3.66159e+07, 1.80313e+07, 7.02353e+06
20.1, 0.584346, 0.415656, 0.646172, 3.66162e+07, 1.80312e+07, 7.02235e+06
20.2, 0.585637, 0.904541, 0.418552, 3.66154e+07, 1.80295e+07, 7.02077e+06
20.3, 0.122988, 0.041579, 0.941356, 3.66154e+07, 1.80295e+07, 7.02077e+06
20.4, 0.762185, 0.904559, 0.105672, 3.66553e+07, 1.80044e+07, 7.02807e+06
20.5, 0.346958, 0.448628, 0.981179, 3.66553e+07, 1.80044e+07, 7.02807e+06
20.6, 0.271193, 0.371661, 0.766531, 3.6667e+07, 1.80019e+07, 7.02362e+06
20.7, 0.882302, 0.0112098, 0.267036, 3.6667e+07, 1.80019e+07, 7.02363e+06
20.8, 0.273647, 0.0776684, 0.942913, 3.66668e+07, 1.80017e+07, 7.02364e+06
20.9, 0.407877, 0.0319174, 0.738189, 3.67411e+07, 1.86156e+07, 6.70152e+06
21, 0.0664169, 0.193916, 0.221746, 3.67421e+07, 1.86141e+07, 6.70204e+06
21.1, 0.655443, 0.301991, 0.57856, 3.67421e+07, 1.86141e+07, 6.70204e+06
21.2, 0.244047, 0.337774, 0.965744, 3.67421e+07, 1.86141e+07, 6.70204e+06
21.3, 0.717701, 0.608894, 0.226691, 3.67421e+07, 1.86139e+07, 6.7019e+06
21.4, 0.12917, 0.269549, 0.202397, 3.67421e+07, 1.86139e+07, 6.7019e+06
21.5, 0.51759, 0.926209, 0.175489, 3.67421e+07, 1.86139e+07, 6.7019e+06
21.6, 0.896916, 0.616654, 0.175748, 3.67421e+07, 1.86139e+07, 6.7019e+06
21.7, 0.428909, 0.229717, 0.142736, 3.67421e+07, 1.86139e+07, 6.7019e+06
21.8, 0.451712, 0.44006, 0.336289, 3.67421e+07, 1.86139e+07, 6.7019e+06
21.9, 0.452863, 0.944438, 0.370541, 3.67421e+07, 1.86139e+07, 6.70189e+06
22, 0.88502, 0.46941, 0.787961, 3.67421e+07, 1.86139e+07, 6.70189e+06
22.1, 0.171947, 0.273816, 0.367516, 3.67421e+07, 1.86139e+07, 6.70188e+06
22.2, 0.760734, 0.416318, 0.53397, 3.67421e+07, 1.86139e+07, 6.70191e+06
22.3, 0.233902, 0.905093, 0.220183, 3.67415e+07, 1.86133e+07, 6.70251e+06
22.4, 0.191996, 0.400774, 0.594627, 3.67414e+07, 1.86133e+07, 6.70247e+06
22.5, 0.392882, 0.151776, 0.104146, 3.67421e+07, 1.86143e+07, 6.70328e+06
22.6, 0.095295, 0.951956, 0.797371, 3.67421e+07, 1.86143e+07, 6.70328e+06
22.7, 0.523313, 0.457599, 0.818912, 3.67415e+07, 1.8615e+07, 6.70326e+06
22.8, 0.857601, 0.0952056, 0.0511387, 3.67415e+07, 1.8615e+07, 6.70326e+06
22.9, 0.311108, 0.58317, 0.531624, 4.56381e+07, 1.14837e+07, 8.52221e+06
23, 0.679276, 0.260254, 0.968805, 4.56377e+07, 1.14841e+07, 8.52237e+06
