Number:0, mass:1, radius:0.001
time,x,y,z
2.6, -1.64696e+06, 654261, 120282
2.61, -2.23039e+06, 658192, -192679
2.62, -2.80382e+06, 652123, -497046
2.63, -3.36724e+06, 636053, -791412
2.64, -3.92067e+06, 609984, -1.07578e+06
2.65, -4.4641e+06, 573915, -1.35015e+06
2.66, -4.99752e+06, 527846, -1.61451e+06
2.67, -5.52095e+06, 471777, -1.86888e+06
2.68, -6.03438e+06, 405707, -2.11325e+06
2.69, -6.5378e+06, 329638, -2.34761e+06
2.7, -7.03123e+06, 243569, -2.57198e+06
2.71, -7.51466e+06, 147500, -2.78635e+06
2.72, -7.98808e+06, 41430.6, -2.99071e+06
2.73, -8.45151e+06, -70478.6, -3.18508e+06
2.74, -8.90494e+06, -173648, -3.36945e+06
2.75, -9.34837e+06, -266817, -3.54381e+06
2.76, -9.78179e+06, -349986, -3.70818e+06
2.77, -1.02052e+07, -423155, -3.86255e+06
2.78, -1.06186e+07, -486325, -4.00691e+06
2.79, -1.10221e+07, -539494, -4.14128e+06
2.8, -1.14155e+07, -582663, -4.26565e+06
2.81, -1.17989e+07, -615832, -4.38001e+06
2.82, -1.21724e+07, -639001, -4.48438e+06
2.83, -1.25358e+07, -652171, -4.57875e+06
2.84, -1.28892e+07, -655340, -4.66311e+06
2.85, -1.32326e+07, -648509, -4.73748e+06
2.86, -1.35661e+07, -631678, -4.80185e+06
2.87, -1.38895e+07, -604847, -4.85621e+06
2.88, -1.42029e+07, -568017, -4.90058e+06
2.89, -1.45063e+07, -521186, -4.93495e+06
2.9, -1.47998e+07, -464355, -4.95931e+06
2.91, -1.50832e+07, -397524, -4.97368e+06
2.92, -1.53566e+07, -320693, -4.97805e+06
2.93, -1.562e+07, -233863, -4.97241e+06
2.94, -1.58735e+07, -137032, -4.95678e+06
2.95, -1.61169e+07, -30201, -4.93115e+06
2.96, -1.63503e+07, 81079.9, -4.89551e+06
2.97, -1.65738e+07, 183011, -4.84988e+06
2.98, -1.67872e+07, 274941, -4.79425e+06
2.99, -1.69906e+07, 356872, -4.72861e+06
3, -1.7184e+07, 428803, -4.65298e+06
3.01, -1.73675e+07, 490734, -4.56735e+06
3.02, -1.75409e+07, 542665, -4.47171e+06
3.03, -1.77043e+07, 584595, -4.36608e+06
3.04, -1.78577e+07, 616526, -4.25045e+06
3.05, -1.80012e+07, 638457, -4.12481e+06
3.06, -1.81346e+07, 650388, -3.98918e+06
3.07, -1.8258e+07, 652319, -3.84355e+06
3.08, -1.83714e+07, 644249, -3.68791e+06
3.09, -1.84749e+07, 626180, -3.52228e+06
3.1, -1.85683e+07, 598111, -3.34665e+06
3.11, -1.86517e+07, 560042, -3.16101e+06
3.12, -1.87252e+07, 511973, -2.96538e+06
3.13, -1.87886e+07, 453903, -2.75975e+06
3.14, -1.8842e+07, 385834, -2.54411e+06
3.15, -1.88854e+07, 307765, -2.31848e+06
3.16, -1.89189e+07, 219696, -2.08285e+06
3.17, -1.89423e+07, 121627, -1.83721e+06
3.18, -1.89557e+07, 13557.5, -1.58158e+06
3.19, -1.89591e+07, -96501.7, -1.31595e+06
3.2, -1.89526e+07, -196671, -1.04031e+06
3.21, -1.8936e+07, -286840, -754680
3.22, -1.89094e+07, -367009, -459047
3.23, -1.88728e+07, -437178, -153413
3.24, -1.88263e+07, -497348, 159568
3.25, -1.87697e+07, -547517, 464901
3.26, -1.87031e+07, -587686, 760235
3.27, -1.86266e+07, -617855, 1.04557e+06
3.28, -1.854e+07, -638024, 1.3209e+06
3.29, -1.84434e+07, -648194, 1.58623e+06
3.3, -1.83368e+07, -648363, 1.84157e+06
3.31, -1.82203e+07, -638532, 2.0869e+06
3.32, -1.80937e+07, -618701, 2.32223e+06
3.33, -1.79571e+07, -588870, 2.54757e+06
3.34, -1.78105e+07, -549040, 2.7629e+06
3.35, -1.7654e+07, -499209, 2.96823e+06
3.36, -1.74874e+07, -439378, 3.16357e+06
3.37, -1.73108e+07, -369547, 3.3489e+06
3.38, -1.71243e+07, -289716, 3.52423e+06
3.39, -1.69277e+07, -199886, 3.68957e+06
3.4, -1.67211e+07, -100055, 3.8449e+06
3.41, -1.65045e+07, 9685.95, 3.99023e+06
3.42, -1.6278e+07, 117617, 4.12557e+06
3.43, -1.60414e+07, 215548, 4.2509e+06
3.44, -1.57948e+07, 303478, 4.36623e+06
3.45, -1.55382e+07, 381409, 4.47157e+06
