lnV;t
2.59405996368452;273.063
2.59306574576427;274.064
2.59209299759939;275.063
2.59114927627165;276.063
2.59006964594013;277.063
2.58913152084553;278.064
2.5882150613197;279.063
2.58717739702375;280.064
2.58616877851966;281.063
2.58522698504939;282.064
2.58414093837839;283.063
2.58317457236759;284.064
2.58210897774436;285.063
2.58117091975806;286.064
2.58006530296123;287.063
2.57925424524451;288.064
2.57828314304314;289.063
2.57733389003393;290.064
2.57637613020639;291.064
2.57526519652748;292.063
2.57443499544166;293.064
2.57339818080898;294.063
2.57246718152011;295.064
2.57146653598211;296.063
2.57044193789426;297.064
2.56934736434331;298.063
2.56855822228361;299.064
2.56736182972419;300.063
2.56643287189426;301.064
2.56583358180456;302.064
2.56458005850984;303.063
2.5638487520175;304.063
2.56277777050321;305.063
2.56181367711973;306.064
2.56078686012332;307.064
2.55972805786197;308.064
2.55880745762754;309.063
2.55787051532032;310.063
2.55683963933331;311.063
2.55590861280939;312.064
2.55497671866724;313.063
2.55401284818655;314.063
2.5531181049376;315.064
2.5521602318098;316.064
2.55113124869723;317.064
2.55023392227942;318.064
2.54929672240764;319.064
2.54820221127117;320.063
2.5473179099094;321.063
2.54640148109759;322.064
2.54542146165397;323.064
2.54451114360762;324.064
2.54344281779236;325.063
2.54258576137468;326.063
2.54156262261078;327.064
2.54062513854434;328.064
2.53973410832047;329.064
2.53875542614829;330.063
2.53774416791477;331.063
2.53681100743836;332.063
2.5358690561048;333.064
2.53497377607194;334.064
2.53400628987434;335.064
2.53304580844853;336.064
2.53206850485444;337.063
2.53108228794996;338.063
2.53012695753203;339.063
2.52913085023665;340.063
2.52826143408653;341.063
2.52730340372353;342.063
2.5262804920123;343.063
2.52528054392627;344.063
2.52430362945671;345.064
2.52338991160369;346.064
2.52241917404777;347.064
2.52137518172668;348.064
2.52045878294872;349.063
2.51950934449434;350.063
2.51849454116632;351.064
2.51755936643818;352.063
2.51661524313172;353.063
2.51566214670799;354.063
2.51467578589488;355.063
2.51371274162967;356.063
2.51275687349908;357.063
2.51184065102808;358.064
2.51088299089175;359.063
2.50974559313492;360.063
2.50889983084128;361.063
2.50796377936336;362.063
2.50692903382249;363.063
2.50599113489186;364.064
2.5050605225798;365.064
