t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
208.062,12.9655,,,2.5622919836153,208.062,,6.56534020929924,43289.795844,533.115594694967
209.061,12.9557,,,2.56153584574615,209.061,,6.56146588904245,43706.501721,535.517245447536
210.062,12.9457,,,2.56076368667391,210.062,,6.55751065898776,44126.043844,537.919141550095
211.061,12.9365,,,2.56005277335221,211.061,,6.55387020234834,44546.745721,540.327298396491
212.061,12.9278,,,2.55938003136204,212.061,,6.55042614493478,44969.867721,542.744688830666
213.062,12.9182,,,2.55863716976323,213.062,,6.54662416649399,45395.415844,545.148352664093
214.061,12.9096,,,2.55797122064501,214.061,,6.5432167656481,45822.111721,547.561877462491
215.061,12.8988,,,2.55713428378488,215.061,,6.53893574530802,46251.233721,549.93985620506
216.062,12.8907,,,2.5565061211399,216.062,,6.53572354742579,46682.787844,552.36382554573
217.061,12.8814,,,2.55578441042144,217.061,,6.53203395255325,47115.477721,554.761119910488
218.062,12.8728,,,2.5551165581628,218.062,,6.52862062579773,47551.035844,557.173826906097
219.061,12.862,,,2.55427722771267,219.061,,6.52433215601153,47987.721721,559.542523779965
220.062,12.8531,,,2.55358502738249,220.062,,6.52079649207202,48427.283844,561.947028295845
221.061,12.8438,,,2.55286120463297,221.061,,6.5171003301201,48867.965721,564.338050757369
222.061,12.8345,,,2.55213685758456,222.061,,6.51340253984158,49311.087721,566.730062732084
223.062,12.8239,,,2.55131061739787,223.062,,6.50918586644711,49756.655844,569.100448938004
224.061,12.8171,,,2.55078021685504,224.061,,6.50647971469903,50203.331721,571.530366168756
225.062,12.8081,,,2.55007778328417,225.062,,6.50289670079952,50652.903844,573.925606061502
226.061,12.7984,,,2.54932016311242,226.061,,6.49903329405154,51103.575721,576.301865393357
227.061,12.7905,,,2.54870270786808,227.061,,6.49588549309407,51556.697721,578.710985551233
228.062,12.7798,,,2.54786579937467,228.062,,6.4916201316231,52012.275844,581.071369936985
229.061,12.7714,,,2.54720829598519,229.061,,6.48827010313576,52468.941721,583.466079486663
